"Player","Team","Position","Over_Pass_Yards","Throw_TDs","Rec_Yards","Rec_TDs","Rush_Yards","Rush_TDs","xFP","xFP_per_game","Scheme_Balance","Position_Focus","Proj_Season_Pts","Percentile","Rookie"
"Sam LaPorta","Detroit Lions","TE","","","675.5","6.5","","","107.55","6.33","balanced","RB","431.5","","0"
"Garrett Wilson","New York Jets","WR","","","925.5","4.5","","","120.55","7.09","pass-heavy","WR","335.5","","0"
"Stefon Diggs","New England Patriots","WR","","","750.5","4.5","","","103.05","6.06","pass-heavy","WR","389.5","","0"
"Travis Hunter","Jacksonville Jaguars","WR","","","750.5","4.5","","","103.05","6.06","balanced","WR","389.5","88.6%","1"
"Matthew Golden","Green Bay Packers","WR","","","700.5","","","","71.05","4.18","balanced","WR","410.5","78.3%","1"
"Tetairoa McMillan","Carolina Panthers","WR","","","800.5","4.5","","","108.05","6.36","pass-heavy","WR","368.5","93.7%","1"
"Saquon Barkley","Philadelphia Eagles","RB","","","275.5","","1425.5","11.5","240.1","14.12","pass-heavy","WR","432.5","","0"
"Davante Adams","Los Angeles Rams","WR","","","950.5","8.5","","","147.05","8.65","pass-heavy","WR","415.5","","0"
"DK Metcalf","Pittsburgh Steelers","WR","","","950.5","6.5","","","135.05","7.94","balanced","RB","379.5","","0"
"Tee Higgins","Cincinnati Bengals","WR","","","975.5","7.5","","","143.55","8.44","pass-heavy","WR","445.5","","0"
"Keon Coleman","Buffalo Bills","WR","","","750.5","4.5","","","103.05","6.06","balanced","WR","457.5","","0"
"Chris Olave","New Orleans Saints","WR","","","825.5","3.5","","","104.55","6.15","pass-heavy","WR","331.5","","0"
"Mark Andrews","Baltimore Ravens","TE","","","600.5","6.5","","","100.05","5.89","run-heavy","RB","452.5","","0"
"Jameson Williams","Detroit Lions","WR","","","900.5","5.5","","","124.05","7.3","balanced","RB","431.5","","0"
"George Kittle","San Francisco 49ers","TE","","","900.5","6.5","","","130.05","7.65","balanced","TE","415.5","","0"
"Rome Odunze","Chicago Bears","WR","","","875.5","5.5","","","121.55","7.15","balanced","WR","399.5","","0"
"Jaylen Waddle","Miami Dolphins","WR","","","925.5","4.5","","","120.55","7.09","balanced","WR","395.5","","0"
"Jakobi Meyers","Las Vegas Raiders","WR","","","825.5","4.5","","","110.55","6.5","balanced","RB","359.5","","0"
"Cooper Kupp","Seattle Seahawks","WR","","","700.5","5.5","","","104.05","6.12","pass-heavy","WR","389.5","","0"
"Tyler Warren","Indianapolis Colts","TE","","","550.5","","","","56.05","3.3","pass-heavy","WR","365.5","97.12%","1"
"Ricky Pearsall","San Francisco 49ers","WR","","","875.5","","","","88.55","5.21","balanced","TE","415.5","","0"
"Dalton Kincaid","Buffalo Bills","TE","","","575.5","","","","58.55","3.44","balanced","WR","457.5","","0"
"Rashod Bateman","Baltimore Ravens","WR","","","550.5","","","","56.05","3.3","run-heavy","RB","452.5","","0"
"De'Von Achane","Miami Dolphins","RB","","","450.5","","900.5","","136.1","8.01","balanced","WR","395.5","","0"
"Kyle Pitts","Atlanta Falcons","TE","","","550.5","","","","56.05","3.3","run-heavy","WR","389.5","","0"
"Michael Pittman Jr.","Indianapolis Colts","WR","","","750.5","","","","76.05","4.47","pass-heavy","WR","365.5","","0"
"Jake Ferguson","Dallas Cowboys","TE","","","550.5","","","","56.05","3.3","pass-heavy","WR","399.5","","0"
"Marvin Mims","Denver Broncos","WR","","","525.5","","","","53.55","3.15","pass-heavy","WR","403.5","","0"
"T.J. Hockenson","Minnesota Vikings","TE","","","700.5","","","","71.05","4.18","pass-heavy","WR","390.5","","0"
