Player,Team,Position,Over_Pass_Yards,Throw_TDs,Rec_Yards,Rec_TDs,Rush_Yards,Rush_TDs
Evan Engram,Denver Broncos,TE,,,575.5,,,
Calvin Ridley,Tennessee Titans,WR,,,925.5,,,
Jaxon Smith-Njigba,Seattle Seahawks,WR,,,975.5,,,
Chase Brown,Cincinnati Bengals,RB,,,300.5,,900.5,
Jordan Addison,Minnesota Vikings,WR,,,625.5,,,
Josh Jacobs,Green Bay Packers,RB,,,,,1050.5,9.5
Kyren Williams,Los Angeles Rams,RB,,,,,1000.5,10.5
Jonathan Taylor,Indianapolis Colts,RB,,,,,1200.5,9.5
Derrick Henry,Baltimore Ravens,RB,,,,,1350.5,13.5
Bucky Irving,Tampa Bay Buccaneers,RB,,,,,1000.5,7.5
Omarion Hampton,Los Angeles Chargers,RB,,,,,850.5,
Ashton Jeanty,Las Vegas Raiders,RB,,,,,1050.5,7.5
TreVeyon Henderson,New England Patriots,RB,,,,,700.5,
James Conner,Arizona Cardinals,RB,,,,,875.5,
Kenneth Walker III,Seattle Seahawks,RB,,,,,875.5,
Tony Pollard,Tennessee Titans,RB,,,,,900.5,
RJ Harvey,Denver Broncos,RB,,,,,700.5,
Brian Robinson Jr.,Washington Commanders,RB,,,,,700.5,
